2025-02-20 05:39:12,909 - INFO - Use pytorch device_name: cpu
2025-02-20 05:39:12,910 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-02-20 05:39:16,115 - INFO - Loading text file...
2025-02-20 05:39:16,136 - INFO - Chunking text...
2025-02-20 05:39:16,138 - INFO - Computing embeddings...
2025-02-20 05:39:16,138 - INFO - Starting embedding computation for 69 chunks
2025-02-20 05:39:47,414 - INFO - Processed chunk 54/69 (Time: 0.35s, Estimated remaining: 8.69s)
2025-02-20 05:39:47,841 - INFO - Processed chunk 55/69 (Time: 0.43s, Estimated remaining: 8.07s)
2025-02-20 05:39:48,379 - INFO - Processed chunk 56/69 (Time: 0.54s, Estimated remaining: 7.48s)
2025-02-20 05:39:48,815 - INFO - Processed chunk 57/69 (Time: 0.44s, Estimated remaining: 6.88s)
2025-02-20 05:39:49,212 - INFO - Processed chunk 58/69 (Time: 0.40s, Estimated remaining: 6.27s)
2025-02-20 05:39:49,629 - INFO - Processed chunk 59/69 (Time: 0.42s, Estimated remaining: 5.68s)
2025-02-20 05:39:50,097 - INFO - Processed chunk 60/69 (Time: 0.47s, Estimated remaining: 5.09s)
2025-02-20 05:39:50,582 - INFO - Processed chunk 61/69 (Time: 0.49s, Estimated remaining: 4.52s)
2025-02-20 05:39:50,992 - INFO - Processed chunk 62/69 (Time: 0.41s, Estimated remaining: 3.94s)
2025-02-20 05:39:51,478 - INFO - Processed chunk 63/69 (Time: 0.49s, Estimated remaining: 3.37s)
2025-02-20 05:39:51,900 - INFO - Processed chunk 64/69 (Time: 0.42s, Estimated remaining: 2.79s)
2025-02-20 05:39:52,394 - INFO - Processed chunk 65/69 (Time: 0.49s, Estimated remaining: 2.23s)
2025-02-20 05:39:52,862 - INFO - Processed chunk 66/69 (Time: 0.47s, Estimated remaining: 1.67s)
2025-02-20 05:39:53,340 - INFO - Processed chunk 67/69 (Time: 0.48s, Estimated remaining: 1.11s)
2025-02-20 05:39:53,847 - INFO - Processed chunk 68/69 (Time: 0.51s, Estimated remaining: 0.55s)
2025-02-20 05:39:54,151 - INFO - Processed chunk 69/69 (Time: 0.30s, Estimated remaining: 0.00s)
2025-02-20 05:39:54,152 - INFO - Embedding computation completed in 38.01 seconds
2025-02-20 05:39:54,152 - INFO - Initialization complete
